First Author,Last Author,Title,Journal,ISSN,Yr of Publication,Yr of Retraction,Months to Retraction,PMID,Impact Factor,"5-year Impact Factor, year of publication; bold = 1-year IF; used 1999 IF for papers before 1999","Grant number(total grant size, #papers citing)","Grants, duplicates removed",Attributable $,"Attributable $, 2012 dollars","Total for all cited grants, non-duplicate grants","Total for all cited grants, non-duplicate grants, 2012 dollars","All NIH, all accounted for in ExPORTER?"
Thomas JM,Thomas FT,STEALTH matters: a novel paradigm of durable primate allograft tolerance,Immunol Rev,0105-2896,2001,2008,74,11782260,11.293,7,"NIDDK, NIAID, and JDRF grants not specified","NIDDK, NIAID, and JDRF grants not specified",0,0,0,0,
Thomas JM,Neville DM Jr.,Durable donor-specific T and B cell tolerance in rhesus macaques induced with peritransplantation anti-CD3 immunotoxin and deoxyspergualin: absence of chronic allograft nephropathy,Transplantation,0041-1337,2000,2006,74,10910269,3.689,4.035,"AI22293(2664733,54) DK57958(13694133,26) and a CRADA from Novartis","AI22293(2664733,54) and a CRADA from Novartis",576044.3305,768039.04,2664733,3552884.49,
Thomas JM,Neville DM Jr,Peritransplant tolerance induction in macaques: early events reflecting the unique synergy between immunotoxin and deoxyspergualin.,Transplantation,0041-1337,1999,2008,104,10609942,3.689,3.463,"AI22293(2664733,54) and a Novartis CRADA grant",and a Novartis CRADA grant,49346.90741,68005.73,0,0,
Tian H,McMahon AP,Dose dependency of Disp1 and genetic interaction between Disp1 and other hedgehog signaling components in the mouse,Development,0950-1991,2004,2005,16,15269168,7.091,7.149,"NS33642(10106197,76)","NS33642(10106197,76)",132976.2763,161622.85,10106197,12283336,Y
Tolentino MJ,Reich SJ,"Intravitreal injection of vascular endothelial growth factor small interfering RNA inhibits growth and leakage in a nonhuman primate, laser-induced model of choroidal neovascularization",Retina,not found,2004,2004,6,15076954,3.052,not found,"EY13410-01(663984,4) RPB Career Development Award and International Retinal Research Foundation","EY13410-01(663984,4) RPB Career Development Award and International Retinal Research Foundation",165996,201755.88,663984,807023.52,
Tombler E,Diversé-Pierluissi MA,G protein-induced trafficking of voltage-dependent calcium channels.,J Biol Chem,0021-9258,2006,2011,65,16293615,5.117,5.808,"NS37443(2346515,9) R24 CA095823(1293878,203) NSF DBI-9724504 and Hirschl Trust Fund Career Development Award",NSF DBI-9724504 and Hirschl Trust Fund Career Development Award,267097.6721,304186.62,0,0,
Tracy RB,Lieber MR,Transcription-dependent R-loop formation at mammalian class switch sequences,EMBO J,0261-4189,2000,2001,18,10698946,8.833,13.999,"National Institute of Health grants and a Leukemia Society of America Scholar Award to M.R.L, and a Bank of America-Giannini Foundation Medical Research Fellowship to R.B.T. M.R.L. is the Rita and Edward Polusky Basic Cancer Research Professor","National Institute of Health grants and a Leukemia Society of America Scholar Award to M.R.L, and a Bank of America-Giannini Foundation Medical Research Fellowship to R.B.T. M.R.L. is the Rita and Edward Polusky Basic Cancer Research Professor",0,0,0,0,
Tracy RB,Lieber MR,Stable RNA/DNA hybrids in the mammalian genome: inducible intermediates in immunoglobulin class switch recombination,Science,0036-8075,2000,2000,3,10807577,32.452,23.872,This work was supported by NIH grants to M.R.L. and C.-L.H. and by a Bank of America–Giannini fellowship and an ARCS Foundation fellowship to R.B.T. M.R.L. is the Rita and Edward Polusky Basic Cancer Research Professor,This work was supported by NIH grants to M.R.L. and C.-L.H. and by a Bank of America–Giannini fellowship and an ARCS Foundation fellowship to R.B.T. M.R.L. is the Rita and Edward Polusky Basic Cancer Research Professor,0,0,0,0,
Trotochaud AE,Clark SE,"CLAVATA3, a multimeric ligand for the CLAVATA1 receptor-kinase",Science,0036-8075,2000,2003,34,10915623,32.452,23.872,NSF (grant IBN-9816760),NSF (grant IBN-9816760),0,0,0,0,
Uflacker R,Papamitisakis N,Interim report of the SENTIS trial: cerebral perfusion augmentation via partial aortic occlusion in acute ischemic stroke,J Cardiovasc Surg (Torino),0021-9509,2008,2009,8,19043384,1.318,1.313,Unavailable,no Penn access,0,0,0,0,
Urdaneta F,Lobato EB,Effects of a new phosphodiesterase enzyme type V inhibitor (UK 343-664) versus milrinone in a porcine model of acute pulmonary hypertension.,Ann Thorac Surg,0003-4975,2004,2011,75,15464509,3.503,2.244,no grants cited,no grants cited,0,0,0,0,
Ushio-Fukai M,Alexander RW,cAbl tyrosine kinase mediates reactive oxygen species- and caveolin-dependent AT1 receptor signaling in vascular smooth muscle: role in vascular hypertrophy.,Circ Res,0009-7330,2005,2010,56,16151024,10.037,9.408,"HL60728(3262612,30)<--other grants with 2R01HL060728-08A2 came up across several years and institutions, disregarded these HL058000(21246431,163) HL075209(7873644,62) and AHA scientist development grant 0130175N and an American Heart Association Grant-in-Aid 0555308B","<--other grants with 2R01HL060728-08A2 came up across several years and institutions, disregarded these and AHA scientist development grant 0130175N and an American Heart Association Grant-in-Aid 0555308B",108753.7333,127850.51,0,0,
Van Parijs L,Baltimore D,Autoimmunity as a consequence of retrovirus-mediated expression of C-FLIP in lymphocytes.,Immunity,1074-7613,1999,2009,112,10626898,21.094,20.563,"CA54162(?,4) AI42100(1931022,3) HHMI Predoctoral Fellowship, Arthritis Foundation Postdoctoral Fellowhip","CA54162(?,4) AI42100(1931022,3) HHMI Predoctoral Fellowship, Arthritis Foundation Postdoctoral Fellowhip",643674,887056.95,1931022,2661170.86,
Van Parijs L,Baltimore D,"Uncoupling IL-2 signals that regulate T cell proliferation, survival, and Fas-mediated activation-induced cell death.",Immunity,1074-7613,1999,2009,115,10514006,21.094,20.563,"GM57931(1852287,9) AI42100(1931022,3) AI35297(20926096,105) CA51462(?,4), HHMI Predoctoral Fellowship, Arthritis Foundation Postdoctoral Fellowship, DoD","GM57931(1852287,9) AI35297(20926096,105) CA51462(?,4), HHMI Predoctoral Fellowship, Arthritis Foundation Postdoctoral Fellowship, DoD",1048779.819,1445339.46,22778383,31391237,
Van Parijs L,Abbas AK,The Fas/Fas ligand pathway and Bcl-2 regulate T cell responses to model self and foreign antigens.,Immunity,1074-7613,1998,2009,134,9492007,21.094,20.563,"AI35297(20926096,105) AI32531(2102037,19) AI22033(5817481,9) HL07627(10216216,73)","AI32531(2102037,19) AI22033(5817481,9) HL07627(10216216,73)",1096264.621,1544145.88,18135734,25545127,Y
Van Parijs L,Abbas AK,Role of interleukin 12 and costimulators in T cell anergy in vivo.,J Exp Med,0022-1007,1997,2009,139,9314560,14.665,15.651,"AI35297(20926096,105) AI25022(2598349,26) HL07627(10216216,73) RR00121(349550,2)<--only 1 from PubMed search but did not include this paper and a National Cancer Institute training grant","AI25022(2598349,26) RR00121(349550,2)<--only 1 from PubMed search but did not include this paper and a National Cancer Institute training grant",613955.8168,878259.02,2947899,4216946.56,
van Son JA,Mohr FW,Ross-Konno operation with resection of endocardial fibroelastosis for critical aortic stenosis with borderline-sized left ventricle in neonates.,Ann Thorac Surg,0003-4975,1997,1997,5,8993251,3.503,2.022,no grants cited,no grants cited,0,0,0,0,
Venters HD,Kelley KW,A new mechanism of neurodegeneration: a proinflammatory cytokine inhibits receptor signaling by a survival peptide.,Proc Natl Acad Sci U S A,0027-8424,1999,2009,120,10449788,10.472,10.26,"AG06246(1981864,41) DK49311(1229056,38) MH51569(3884624,63) the University of Illinois, Urbana-Champaign/Centre National de la Recherche Scientifique Research Award Program, and the Pioneering Research Project in Biotechnology financed by the Japanese Ministry of Agriculture, Forestry, and Fisheries","AG06246(1981864,41) DK49311(1229056,38) MH51569(3884624,63) the University of Illinois, Urbana-Champaign/Centre National de la Recherche Scientifique Research Award Program, and the Pioneering Research Project in Biotechnology financed by the Japanese Ministry of Agriculture, Forestry, and Fisheries",142342.4237,196164.26,7095544,9778477.37,
Walker TS,Vivanco JM,Metabolic profiling of root exudates of Arabidopsis thaliana.,J Agric Food Chem,0021-8561,2003,2009,78,12696935,3.239,2.102,Colorado State University Agricultural Experiment Station and the Colorado State University-Invasive Weeds Initiative. J.M.V. is an NSF Early Career Development Faculty Fellow,Colorado State University Agricultural Experiment Station and the Colorado State University-Invasive Weeds Initiative. J.M.V. is an NSF Early Career Development Faculty Fellow,0,0,0,0,
Wang H,Raizada MK,Angiotensin I-converting enzyme antisense gene therapy causes permanent antihypertensive effects in the SHR,Hypertension,0194-911X,2000,2002,33,10642298,6.643,5.311,"HL52189(927423,25) HL56921(9953331,57) and a grant-in-aid from the American Heart Association, Florida-Puerto Rico affiliate","and a grant-in-aid from the American Heart Association, Florida-Puerto Rico affiliate",211716.7621,282281.64,0,0,
Wang L,Moore DD,Orphan receptor small heterodimer partner is an important mediator of glucose homeostasis,Mol Endocrinol,0888-8809,2006,2008,22,16803864,4.816,4.967,"P20RR016475(36886705,496) R01DK53366(2425477,16) P01DK57743(4339029,14) R01DK67536(2771567,53) R01HL51586(6216421,108) DK68037(2073369,33) and Kansas Masonic Cancer Research Institute and American Liver Foundation","P20RR016475(36886705,496) R01DK53366(2425477,16) P01DK57743(4339029,14) R01DK67536(2771567,53) R01HL51586(6216421,108) DK68037(2073369,33) and Kansas Masonic Cancer Research Institute and American Liver Foundation",708573.8465,806965.8,54712568,62309907,
Weiser WY,David JR,Recombinant human migration inhibitory factor has adjuvant activity.,Proc Natl Acad Sci U S A,0027-8424,1992,1997,52,1518830,10.472,10.26,"AI22801(680233,5) AI22532(1787228,21)","AI22532(1787228,21)",221152.6952,361905.44,1787228,2924710.09,Y
Wong CW,Cheskis BJ,Estrogen receptor-interacting protein that modulates its nongenomic activity-crosstalk with Src/Erk phosphorylation cascade,Proc Natl Acad Sci U S A,0027-8424,2002,2009,81,12415108,10.472,10.7,no grants cited,no grants cited,0,0,0,0,
Wyman JL,Garfinkel MR,Immunoisolating pancreatic islets by encapsulation with selective withdrawal.,Small,1613-6810,2007,2010,44,17340661,8.262,6.419,"NSF, American Diabetes Assoc, Burroughs Wellcome; grant#s not indicated","NSF, American Diabetes Assoc, Burroughs Wellcome; grant#s not indicated",0,0,0,0,
Xiong W,Chan L,Transgenic mice expressing full-length human apolipoprotein B-100. Full-length human apolipoprotein B mRNA is essentially not edited in mouse intestine or liver.,J Biol Chem,0021-9258,1992,1993,10,1400454,5.117,7.666,"HL27341(10163276,94) HL45516(387552,3) grant from March of Dimes Birth Defects Foundatio and fellowship from Heart and Stroke Foundation of Canada","HL27341(10163276,94) HL45516(387552,3) grant from March of Dimes Birth Defects Foundatio and fellowship from Heart and Stroke Foundation of Canada",237303.9574,388336.18,10550828,17265907,
Xu Y,Damron DS,Sphingosylphosphorylcholine is a ligand for ovarian cancer G-protein-coupled receptor 1,Nat Cell Biol,1465-7392,2000,2006,70,10806476,20.116,11.939,"American Cancer Society grant RPG-99-062-01-CNE, an American Cancer Society OHIO Division grant, US Army grant DAMD 17-99-1-9563 to Y.X. and by Betsey De Windt endowment funds","American Cancer Society grant RPG-99-062-01-CNE, an American Cancer Society OHIO Division grant, US Army grant DAMD 17-99-1-9563 to Y.X. and by Betsey De Windt endowment funds",0,0,0,0,
Yang R,Chen Y,Single-walled carbon nanotubes-mediated in vivo and in vitro delivery of siRNA into antigen-presenting cells,Gene Ther,0969-7128,2006,2007,6,16838032,4.143,4.782,Chinese gov't funding,Chinese gov't funding,0,0,0,0,
Yao ZQ,Prince AM,gC1qR expression in chimpanzees with resolved and chronic infection: potential role of HCV core/gC1qR-mediated T cell suppression in the outcome of HCV infection,Virology,0042-6822,2006,2007,20,16368125,3.249,3.525,"R01AI47349(2486483,14) R01DK066754(1473614,8) R01AZ057591(?,1) <- likely a typo so substituted AI057591(1452139,7) which has Hahn YS as PI","R01AI47349(2486483,14) R01DK066754(1473614,8) R01AZ057591(?,1) <- likely a typo so substituted AI057591(1452139,7) which has Hahn YS as PI",569256.1071,648302.52,5412236,6163774.37,Y
Yao ZQ,Hahn YS,SOCS1 and SOCS3 are targeted by hepatitis C virus core/gC1qR ligation to inhibit T-cell function,J Virol,0022-538X,2005,2006,8,16306613,5.324,5.178,"DK066754(1473614,8) DK063222(2023251,9) AZ066328(?,?) and American Association for the Study of Liver Diseases/Schering Advanced Hepatology fellowship","DK063222(2023251,9) AZ066328(?,?) and American Association for the Study of Liver Diseases/Schering Advanced Hepatology fellowship",409007.4167,480827.7,2023251,2378526.83,
Ying LQ,Branchaud BP,"Facile synthesis of symmetric, monofunctional cyanine dyes for imaging applications.",Bioconjug Chem,1043-1802,2011,2011,5,21517120,5.224,5.224,no grants cited,no grants cited,0,0,0,0,
Yun TH,Leung LL,"Thrombin activation of factor XI on activated platelets requires the interaction of factor XI and platelet glycoprotein Ib alpha with thrombin anion-binding exosites I and II, respectively",J Biol Chem,0021-9258,2003,2007,46,12968031,5.117,6.482,"HL57530(4188349,26) HL46213(7678684,77) HL64943(6536968,52) HL70683(1500000,17) P5065967(?,?) ; an American Heart Association scientist development award (to T. M.); the Cheong Har Family Foundation; the Janet Hughes Fund; and the Francis and Arjay Miller Fund","HL57530(4188349,26) HL46213(7678684,77) HL64943(6536968,52) HL70683(1500000,17) P5065967(?,?) ; an American Heart Association scientist development award (to T. M.); the Cheong Har Family Foundation; the Janet Hughes Fund; and the Francis and Arjay Miller Fund",474759.7322,592402.09,19904001,24836083,
Zhang B,Wang S,Requirement for chromatin-remodeling complex in novel tumor suppressor HIC1-mediated transcriptional repression and growth control.,Oncogene,0950-9232,2009,2011,20,19015639,6.889,6.73,"CA102940(161500,4) CA101992(2118991,15), Susan G. Komen Breat Cancer Foundation Research Award BCTR0403163, Karin Grunebaum Cancer Research Foundation, Carter Family Foundation for Melanoma Research, Congressionally Directed Medical Research Program, Bosto","CA102940(161500,4) CA101992(2118991,15), Susan G. Komen Breat Cancer Foundation Research Award BCTR0403163, Karin Grunebaum Cancer Research Foundation, Carter Family Foundation for Melanoma Research, Congressionally Directed Medical Research Program, Bosto",181641.0667,194389.31,2280491,2440544.29,
Zhang B,Wang S,HIC1 regulates tumor cell responses to endocrine therapies.,Mol Endocrinol,0888-8809,2009,2011,21,19819984,4.816,5.33,"CA102940(161500,4) CA101992(2118991,15), Susan G. Komen Breat Cancer Foundation Research Award BCTR0403163, Karin Grunebaum Cancer Research Foundation, Carter Family Foundation for Melanoma Research, Congressionally Directed Medical Research Program, Boston University School of Medicine Department of Medicine Pilot Project Grant Award, and Aid for Cancer Research grant.","Susan G. Komen Breat Cancer Foundation Research Award BCTR0403163, Karin Grunebaum Cancer Research Foundation, Carter Family Foundation for Melanoma Research, Congressionally Directed Medical Research Program, Boston University School of Medicine Department of Medicine Pilot Project Grant Award, and Aid for Cancer Research grant.",181641.0667,194389.31,0,0,
Zhu K,Xu Y,Sphingosylphosphorylcholine and lysophosphatidylcholine are ligands for the G protein-coupled receptor GPR4,J Biol Chem,0021-9258,2001,2005,49,11535583,5.117,7.258,"CA84038-01(222000,8) CA76204(1983525,14) American Cancer Society Grant RPG-99-062-01-CNE and United States Army Grant DAMD 17-99-1-9563",American Cancer Society Grant RPG-99-062-01-CNE and United States Army Grant DAMD 17-99-1-9563,169430.3571,219651.01,0,0,
Zou Z,Buck LB,Combinatorial effects of odorant mixes in olfactory cortex.,Science,0036-8075,2006,2010,54,16527983,32.452,30.028,HHMI and NIH and DoD grants not specified,HHMI and NIH and DoD grants not specified,0,0,0,0,
Zou Z,Buck LB,Odor maps in the olfactory cortex.,Proc Natl Acad Sci U S A,0027-8424,2005,2010,65,15911779,10.472,10.231,HHMI and NIH and DoD grants not specified,HHMI and NIH and DoD grants not specified,0,0,0,0,
Zou Z,Buck LB,Genetic tracing reveals a stereotyped sensory map in the olfactory cortex,Nature,0028-0836,2001,2008,76,11700549,36.235,27.955,"Howard Hughes Medical Institute, grants from the National Institutes of Health and the Department of Defense (L.B.B.), a Howard Hughes Predoctoral Fellowship (L.F.H.), the Fyssen Foundation (J.-P.M.) and the Alice and Joseph Brook Fund (J.-P.M.)","Howard Hughes Medical Institute, grants from the National Institutes of Health and the Department of Defense (L.B.B.), a Howard Hughes Predoctoral Fellowship (L.F.H.), the Fyssen Foundation (J.-P.M.) and the Alice and Joseph Brook Fund (J.-P.M.)",0,0,0,0,
Zuo L,Alexander RW,Caveolin-1 is essential for activation of Rac1 and NAD(P)H oxidase after angiotensin II type 1 receptor stimulation in vascular smooth muscle cells: role in redox signaling and vascular hypertrophy.,Arterioscler Thromb Vasc Biol,1079-5642,2005,2011,68,15976327,7.037,7.053,"HL60728(3262612,30)<--other grants with 2R01HL060728-08A2 came up across several years and institutions, disregarded these HL058000(21246431,163) HL075209(7873644,62)","HL60728(3262612,30)<--other grants with 2R01HL060728-08A2 came up across several years and institutions, disregarded these HL058000(21246431,163) HL075209(7873644,62)",108753.7333,127850.51,3262612,3835515.31,Y
Zuo L,Alexander RW,Microtubules regulate angiotensin II type 1 receptor and Rac1 localization in caveolae/lipid rafts: role in redox signaling.,Arterioscler Thromb Vasc Biol,1079-5642,2004,2011,82,15142861,7.037,7.432,"HL60728(3262612,30) and an American Heart Association national scientist development grant",and an American Heart Association national scientist development grant,108753.7333,132182.13,0,0,
